snr,wifi_db,exp_phase_shift,exp_doppler_shift,found_phase_shift,found_doppler_shift
-50,-100,5691,773,5813.0,-800
-50,-100,3508,358,8671.0,900
-50,-100,7593,734,6183.0,0
-50,-100,4150,710,1640.0,-600
-50,-100,2902,510,7627.0,-500
-50,-100,8503,-982,5360.0,200
-50,-100,4711,-852,7596.0,100
-50,-100,4961,-166,3114.0,100
-50,-100,456,-141,789.0,300
-50,-100,36,-33,8124.0,-500
-50,-90,8451,-326,6689.0,500
-50,-90,9893,-298,3364.0,900
-50,-90,73,258,2608.0,0
-50,-90,7912,-516,8965.0,-900
-50,-90,1376,-575,5142.0,900
-50,-90,2626,884,814.0,700
-50,-90,5974,-964,232.0,-700
-50,-90,2463,718,4097.0,-400
-50,-90,6061,-758,133.0,-600
-50,-90,6659,-248,7837.0,-500
-50,-80,2184,-736,6493.0,600
-50,-80,4855,320,7850.0,400
-50,-80,1588,-451,5809.0,-500
-50,-80,3417,-88,2074.0,700
-50,-80,7763,253,3293.0,900
-50,-80,3865,-863,1942.0,-100
-50,-80,236,531,8018.0,100
-50,-80,4710,-549,4511.0,-900
-50,-80,8086,954,592.0,-900
-50,-80,9176,194,6812.0,400
-50,-70,6889,534,5892.0,-900
-50,-70,2467,-405,8989.0,-1000
-50,-70,1022,-345,8500.0,900
-50,-70,3519,913,705.0,-500
-50,-70,6590,-310,9297.0,800
-50,-70,1227,150,8792.0,900
-50,-70,8621,279,961.0,-100
-50,-70,9048,-988,512.0,900
-50,-70,8949,10,7767.0,800
-50,-70,5380,430,6943.0,-1000
-50,-60,9635,528,9194.0,-200
-50,-60,3795,-275,6067.0,0
-50,-60,9658,127,1733.0,900
-50,-60,6658,-735,2470.0,-1000
-50,-60,2017,562,2672.0,800
-50,-60,7608,948,6669.0,100
-50,-60,8118,-540,4090.0,100
-50,-60,402,490,8175.0,300
-50,-60,2157,933,2387.0,700
-50,-60,2918,798,8461.0,400
-50,-50,7834,365,7242.0,-400
-50,-50,5441,-715,1475.0,-800
-50,-50,543,-563,2823.0,100
-50,-50,7640,383,6287.0,-600
-50,-50,5477,-979,4797.0,900
-50,-50,8440,-903,9407.0,-700
-50,-50,6997,-142,8214.0,-400
-50,-50,4804,557,3857.0,200
-50,-50,7988,-720,2405.0,-100
-50,-50,2004,349,1315.0,-500
-50,-40,1022,-711,6438.0,800
-50,-40,9843,155,3984.0,-700
-50,-40,4601,-900,3612.0,-1000
-50,-40,9912,678,7682.0,-800
-50,-40,8405,-455,9789.0,900
-50,-40,258,765,3113.0,500
-50,-40,5782,528,4711.0,900
-50,-40,6277,434,8485.0,-100
-50,-40,8799,-166,1157.0,900
-50,-40,2283,-181,7848.0,900
-50,-30,2638,-205,7331.0,0
-50,-30,940,893,2085.0,-600
-50,-30,3071,-2,7658.0,0
-50,-30,2986,706,7800.0,-100
-50,-30,7064,-488,4208.0,-600
-50,-30,9509,630,2868.0,-200
-50,-30,5322,-95,4387.0,-100
-50,-30,9695,-94,6116.0,800
-50,-30,637,804,8378.0,-700
-50,-30,7537,141,8661.0,400
-50,-20,5510,-710,4184.0,-400
-50,-20,9329,-982,571.0,800
-50,-20,3399,162,5101.0,-800
-50,-20,8544,-884,2733.0,400
-50,-20,8852,474,4389.0,700
-50,-20,4959,273,687.0,900
-50,-20,3855,-75,4208.0,-1000
-50,-20,6036,-448,1675.0,400
-50,-20,9992,426,5075.0,200
-50,-20,1052,-458,8059.0,700
-50,-10,5886,-322,6010.0,-600
-50,-10,8880,-222,517.0,0
-50,-10,7680,-617,5529.0,500
-50,-10,2526,-833,2780.0,800
-50,-10,4095,388,3356.0,-800
-50,-10,2335,325,284.0,-200
-50,-10,3238,315,8167.0,-900
-50,-10,9092,924,6348.0,-1000
-50,-10,5726,-335,2479.0,900
-50,-10,2328,87,2525.0,-800
-50,0,1580,-748,6659.0,500
-50,0,2088,565,1606.0,-500
-50,0,3042,29,4431.0,500
-50,0,1903,308,900.0,-300
-50,0,1787,756,9949.0,-600
-50,0,7610,477,1029.0,-800
-50,0,9363,-163,3559.0,-800
-50,0,3146,-366,8862.0,300
-50,0,8322,640,6334.0,900
-50,0,5348,914,2041.0,-700
-50,10,745,-703,3517.0,-900
-50,10,3128,170,8330.0,0
-50,10,5729,715,8031.0,-300
-50,10,2324,-187,3563.0,-500
-50,10,3228,-829,1907.0,200
-50,10,4660,961,242.0,900
-50,10,824,996,619.0,900
-50,10,2201,-437,6476.0,100
-50,10,7336,988,5138.0,900
-50,10,5692,-854,1770.0,-800
-50,20,797,487,2092.0,-300
-50,20,5481,-529,148.0,800
-50,20,7300,-336,8114.0,-900
-50,20,3760,494,726.0,900
-50,20,6934,683,7359.0,-200
-50,20,9042,-732,8444.0,900
-50,20,1326,-764,3482.0,600
-50,20,9214,-627,734.0,-200
-50,20,342,46,1557.0,-300
-50,20,8916,-378,8156.0,900
-50,30,3759,6,7033.0,500
-50,30,5365,-110,1399.0,600
-50,30,1716,-105,7242.0,300
-50,30,4966,-909,7231.0,-900
-50,30,6278,-577,3177.0,-800
-50,30,424,-627,9037.0,-900
-50,30,2411,-424,7177.0,900
-50,30,8683,475,5117.0,-1000
-50,30,9028,348,7615.0,900
-50,30,4266,-369,3728.0,-1000
-50,40,1113,585,1324.0,300
-50,40,2199,8,5974.0,-300
-50,40,8591,159,2359.0,-1000
-50,40,24,-41,3559.0,900
-50,40,6373,904,8720.0,-400
-50,40,5953,518,4898.0,-400
-50,40,5216,-758,4052.0,-600
-50,40,5422,854,8522.0,-500
-50,40,2103,-473,7146.0,300
-50,40,4798,-139,4035.0,800
-50,50,2135,-487,7161.0,400
-50,50,4732,411,2601.0,-600
-50,50,233,-389,7994.0,700
-50,50,9775,699,7088.0,300
-50,50,4728,25,4297.0,300
-50,50,527,-796,4536.0,900
-50,50,3347,209,7481.0,100
-50,50,9195,446,2727.0,-1000
-50,50,3699,1000,5506.0,-700
-50,50,7663,-961,2879.0,-1000
-40,-100,5488,614,5431.0,900
-40,-100,6441,685,9206.0,900
-40,-100,9234,-652,1641.0,-800
-40,-100,7036,-571,8954.0,500
-40,-100,711,9,6911.0,900
-40,-100,7148,-739,3033.0,900
-40,-100,4086,24,2704.0,-100
-40,-100,2578,222,7270.0,200
-40,-100,7348,-4,8045.0,900
-40,-100,8506,19,8547.0,-200
-40,-90,9700,-370,3500.0,700
-40,-90,9601,-401,7660.0,900
-40,-90,5737,-893,5592.0,-800
-40,-90,4204,705,3205.0,-1000
-40,-90,6453,-294,1278.0,-200
-40,-90,6671,475,668.0,-700
